feature,importance
Age,0.2363679709543813
Have you ever had suicidal thoughts ?,0.08826636866659508
Academic Pressure,0.07528053073190526
Work/Study Hours,0.05807431758445258
Total_Pressure,0.056158165299290116
Financial Stress,0.05431124490816217
Profession,0.041245855776310285
City,0.04122038039202344
Degree,0.04095283294501105
Wellness_Score,0.037756470251543744
CGPA,0.0371995211653029
Satisfaction_Score,0.036870647584016834
Study Satisfaction,0.03496105939971178
Working Professional or Student,0.03107961150174806
Work Pressure,0.028637026454785348
Dietary Habits,0.024395303286409355
Job Satisfaction,0.02360466620786409
Normalized_Sleep,0.01630756423230802
Sleep Duration,0.015577295891942906
Family History of Mental Illness,0.010966051696618384
Gender,0.010767115069617158
High_Stress,0.0
